15 29 1 6 1000
30 52 1 8 100
53 95 2 8 10
96 100 1 4 10

14 23 1 10 1000
24 43 2 10 100
44 95 4 10 10
96 100 2 8 10

12 21 2 10 1000
22 41 4 8 100
42 95 1 4 10
96 100 1 10 10

12 21 3 10 1000
22 41 4 12 100
42 95 1 6 10
96 100 1 8 10

11 19 1 4 10000
21 38 1 6 1000
39 95 1 8 100
96 100 1 10 10

11 18 1 6 10000
19 37 1 8 1000
38 95 1 10 100
96 100 1 12 10

12 18 1 10 10000
19 35 1 12 1000
36 95 2 6 100
96 100 3 4 10

11 15 1 12 10000
16 29 2 6 1000
30 87 2 8 100
88 100 3 6 10

11 15 2 6 10000
16 29 2 8 1000
30 85 5 4 100
86 100 2 12 10

0 0 0 0 0
11 24 2 10 1000
25 79 6 4 100
80 100 5 6 10

0 0 0 0 0
9 14 3 10 1000
15 75 4 8 100
76 100 4 10 10

0 0 0 0 0
9 14 3 12 1000
15 75 1 4 100
76 100 1 4 10

0 0 0 0 0
0 0 0 0 0
9 75 1 4 1000
76 100 1 10 100

0 0 0 0 0
0 0 0 0 0
9 75 1 6 1000
76 100 1 12 100

0 0 0 0 0
0 0 0 0 0
4 74 1 8 1000
75 100 3 4 100

0 0 0 0 0
0 0 0 0 0
4 74 1 12 1000
75 100 3 4 100

0 0 0 0 0
0 0 0 0 0
4 68 3 4 1000
69 100 2 10 100

0 0 0 0 0
0 0 0 0 0
3 65 3 6 1000
66 100 5 4 100

0 0 0 0 0
0 0 0 0 0
3 65 3 8 1000
66 100 3 10 100

0 0 0 0 0
0 0 0 0 0
3 65 4 8 1000
66 100 4 10 100
