15-29 1d6x1000
30-52 1d8x100
53-95 2d8x10
96-100 1d4x10

14-23 1d10x1000
24-43 2d10x100
44-95 4d10x10
96-100 2d8x10

12-21 2d10x1000
22-41 4d8x100
42-95 1d4x10
96-100 1d10x10

12-21 3d10x1000
22-41 4d12x100
42-95 1d6x10
96-100 1d8x10

11-19 1d4x10000
21-38 1d6x1000
39-95 1d8x100
96-100 1d10x10

11-18 1d6x10000
19-37 1d8x1000
38-95 1d10x100
96-100 1d12x10

12-18 1d10x10000
19-35 1d12x1000
36-95 2d6x100
96-100 3d4x10

11-15 1d12x10000
16-29 2d6x1000
30-87 2d8x100
88-100 3d6x10

11-15 2d6x10000
16-29 2d8x1000
30-85 5d4x100
86-100 2d12x10

0-0 0d0x0
11-24 2d10x1000
25-79 6d4x100
80-100 5d6x10

0-0 0d0x0
9-14 3d10x1000
15-75 4d8x100
76-100 4d10x10

0-0 0d0x0
9-14 3d12x1000
15-75 1d4x100
76-100 1d4x10

0-0 0d0x0
0-0 0d0x0
9-75 1d4x1000
76-100 1d10x100

0-0 0d0x0
0-0 0d0x0
9-75 1d6x1000
76-100 1d12x100

0-0 0d0x0
0-0 0d0x0
4-74 1d8x1000
75-100 3d4x100

0-0 0d0x0
0-0 0d0x0
4-74 1d12x1000
75-100 3d4x100

0-0 0d0x0
0-0 0d0x0
4-68 3d4x1000
69-100 2d10x100

0-0 0d0x0
0-0 0d0x0
3-65 3d6x1000
66-100 5d4x100

0-0 0d0x0
0-0 0d0x0
3-65 3d8x1000
66-100 3d10x100

0-0 0d0x0
0-0 0d0x0
3-65 4d8x1000
66-100 4d10x100
